song_idx,song_name,song_short_name,sloka_statues,division,division_no,total_slokas,groups,devotion_god,author,describtion,other_links
1,Śri Daśavātāra Stotraṁ,ŚriDaśavātāraStotraṁ,1,,0,,,,Jayadeva Goswami,some,"http://kksongs.org/songs/p/pralayapayodhijale.html <br>
http://kksongs.org/synonym/p/pralayapayodhijale.html"
2,Śri Rādhikā Aṣṭakam,ŚriRādhikāAṣṭakam,1,,0,,,,Krishnadasa Kaviraja Goswami,,"Sankrit Dictionary:
 https://www.learnsanskrit.cc/translate 
 https://vedabase.io/en/search/synonyms/

Lyrics : 
 http://kksongs.org/songs/k/kunkumaktakancanabja.html 

Youtuve Video 
 https://www.youtube.com/watch?v=ZBk4MLiWIc8 
 https://www.youtube.com/watch?v=nIGuUCKjxP0&t=47s
 https://www.youtube.com/watch?v=tdx1KybTnpE 
 https://www.youtube.com/watch?v=-54D7Y1Qis0"
3,Śrī Govinda Dāmodara Stotram,GovindaDāmodaraMādhaveti,1,,0,,,, Śrī Bilvamaṅgalācārya,,"Sankrit Dictionary:
 https://www.learnsanskrit.cc/translate 
 https://vedabase.io/en/search/synonyms/

Lyrics : 
 https://iskcondesiretree.com/forum/topics/govinda-damodara-madhaveti 

Youtuve Video 
"
4,Śri Narasimha Kavacaṁ Stotraṁ,ŚriNarasimhaKavacaṁ,1,,0,,,,Prahalad,,
5,oṁ saha nāvavatu,OṁSahaNāvavatu,1,,0,,,,Vyasadeva,"Om Sahana Vavatu is a mantra taken from Krishna Yajurveda Taittiriya Upanishad (2.2.2).
This is a Shanti mantra. It is a tradition to always recite this mantra before the start of yoga sessions or before classes begin in schools.",https://greenmesg.org/stotras/vedas/om_sahana_vavatu.php
6,Adharam Madhuram,adharammadhuram,1,,0,,,,Vallabhacarya,Official Name: Sri Madhurastakam,"lyrics link:  http://kksongs.org/songs/a/adharammadhuram.html 
  sysnonym link:  http://kksongs.org/synonym/a/adharammadhuram.html"
7,Akordha Paramananda Nityananda Ray,akrodhaparamananda,1,,0,,,,Locana Dasa Thakura,Official Name: None,"lyrics link:  http://kksongs.org/songs/a/akrodhaparamananda.html 
  sysnonym link:  http://kksongs.org/synonym/a/akrodhaparamananda.html"
8,Amar Jivana,amarjivan,1,,0,,,,Bhaktivinoda Thakura,Official Name: Dainya Song 4,"lyrics link:  http://kksongs.org/songs/a/amarjivan.html 
  sysnonym link:  http://kksongs.org/synonym/a/amarjivan.html"
9,Ami Jamuna Puline,amijamunapuline,1,,0,,,,Bhaktivinoda Thakura,Official Name: Lila Kirtana Song 2,"lyrics link:  http://kksongs.org/songs/a/amijamunapuline.html 
  sysnonym link:  http://kksongs.org/synonym/a/amijamunapuline.html"
10,Antara Mandire Jago Jago,antaramandire,1,,0,,,,Mira Bai,Official Name: None,"lyrics link:  http://kksongs.org/songs/a/antaramandire.html 
  sysnonym link:  http://kksongs.org/synonym/a/antaramandire.html"
11,Ar Koto Kal,arkotokal,1,,0,,,,Mira Bai,Official Name: None,"lyrics link:  http://kksongs.org/songs/a/arkotokal.html 
  sysnonym link:  http://kksongs.org/synonym/a/arkotokal.html"
12,Bhaja Bhakata Vatsala,bhajabhakatavatsala,1,,0,,,,Bhaktivinoda Thakura,Official Name: Sri Surabhi Kunjer Bhoga Arotik (Arati Kirtan Song 4),"lyrics link: http://kksongs.org/songs/b/bhajabhakata.html 
  sysnonym link:  http://kksongs.org/synonym/b/bhajabhakatavatsala.html"
13,Bhaja Hu Re Mana,bhajahuremana,1,,0,,,,Govinda Dasa Kaviraja,Official Name: None,"lyrics link: http://kksongs.org/songs/b/bhajahuremana.html 
  sysnonym link:  http://kksongs.org/synonym/b/bhajahuremana.html"
14,Boro Sukher Khabor Gai,borosukherkhaborgai,1,,0,,,,Bhaktivinoda Thakura,Official Name: Dalalera Gita,"lyrics link: http://kksongs.org/songs/b/borosukherkhabor.html 
  sysnonym link:  http://kksongs.org/synonym/b/borosukherkhaborgai.html"
15,Ceto Darpana Marjanam,cetodarpana,1,,0,,,,Krsnadasa Kaviraja,Official Name:  Sri Siksastakam,"lyrics link:  http://kksongs.org/songs/c/cetodarpana.html 
  sysnonym link:  http://kksongs.org/synonym/c/cetodarpana.html"
16,Ei Baro Karuna Koro,eibarokarunakoro,1,,0,,,,Narottama Dasa Thakura,Official Name: Vaisnave Vijnapati Song 2,"lyrics link:  http://kksongs.org/songs/e/eibarokarunakoro.html 
  sysnonym link:  http://kksongs.org/synonym/e/eibarokarunakoro.html"
17,Emona Durmati,emonadurmati,1,,0,,,,Bhaktivinoda Thakura,Official Name: Dainya Song 7,"lyrics link:  http://kksongs.org/songs/e/emonadurmati.html 
  sysnonym link:  http://kksongs.org/synonym/e/emonadurmati.html"
18,Gauranga Bolite Habe,gaurangabolitehabe,1,,0,,,,Narottama Dasa Thakura,Official Name: Lalasmayi Prarthana Song 1,"lyrics link: http://kksongs.org/songs/g/gaurangabolite.html 
  sysnonym link:  http://kksongs.org/synonym/g/gaurangabolitehabe.html"
19,Gauranga Karuna Koro,gaurangakorunakoro,1,,0,,,,Narottama Dasa Thakura,Official Name: None,"lyrics link:  http://kksongs.org/songs/g/gaurangakorunakoro.html 
  sysnonym link:  http://kksongs.org/synonym/g/gaurangakorunakoro.html"
20,Gaurangera Duti Pada,gaurangerdutipada,1,,0,,,,Narottama Dasa Thakura,Official Name: Sabarana Sri Gaura Mahima Song 1,"lyrics link: http://kksongs.org/songs/g/gaurangeradutipada.html 
  sysnonym link:  http://kksongs.org/synonym/g/gaurangerdutipada.html"
21,Gay Gora Madhura Sware,gaygoramadhursware,1,,0,,,,Bhaktivinoda Thakura,Official Name: Sri Nagara Kirtana Sri Nama Song 2,"lyrics link: http://kksongs.org/songs/g/gaygoramadhur.html 
  sysnonym link:  http://kksongs.org/synonym/g/gaygoramadhursware.html"
22,Gopinath Mama Nivedana Suno,gopinath1,1,,0,,,,Bhaktivinoda Thakura,Official Name: Upalabdhi Vijnapti Song 1,"lyrics link: http://kksongs.org/songs/g/gopinatha1.html 
  sysnonym link:  http://kksongs.org/synonym/g/gopinath1.html"
23,Gopinath Ghucao Samsara,gopinath2,1,,0,,,,Bhaktivinoda Thakura,Official Name: Upalabdhi Vijnapti Song 2,"lyrics link: http://kksongs.org/songs/g/gopinatha2.html 
  sysnonym link:  http://kksongs.org/synonym/g/gopinath2.html"
24,Gopinath Amar Upaya,gopinath3,1,,0,,,,Bhaktivinoda Thakura,Official Name: Upalabdhi Vijnapti Song 3,"lyrics link: http://kksongs.org/songs/g/gopinatha1.html 
  sysnonym link:  http://kksongs.org/synonym/g/gopinath3.html"
25,Gurudeva Krpa Bindu Diya,gurudeva4,1,,0,,,,Bhaktivinoda Thakura,Official Name: Bhajana Lalasa Song 11,"lyrics link:  http://kksongs.org/songs/g/gurudeva4.html 
  sysnonym link:  http://kksongs.org/synonym/g/gurudeva4.html"
26,Hari Haraye Namah Krsna Yadavaya Namah,hariharayenamah,1,,0,,,,Narottama Dasa Thakura,Official Name: Sri Nama Sankirtana,"lyrics link:  http://kksongs.org/songs/h/hariharayenamah.html 
  sysnonym link:  http://kksongs.org/synonym/h/hariharayenamah.html"
